,Inflected_Word,Lemma,Prediction
2951,ব্যক্তিদের,ব্যক্তি,ব্যক্তি
2952,অকৃতশোক,অকৃতশোক,অকৃতশোক
2953,জা্রি,জা্রি,জা্রি
2954,ইদ্গাম,ইদ্গাম,ইদ্গাম
2955,কোলাবরেটিভ,কোলাবরেটিভ,কোলাবরেটিভ
2956,ত্রিকোলোফেনহোল,ত্রিকোলোফেন,ত্রিকোলোফেন
2957,স্বাস্থ্যসেবাগত,স্বাস্থ্যসেবাগত,স্বাস্থ্যসেবাগত
2958,ব্যান্ন্ডের,ব্যান্ন্ড,ব্যান্ন্ড
2959,সাধক,সাধক,সাধক
2960,ফার্মেসি,ফার্মেসি,ফার্মেসি
2961,জলপ্লাবন,জল,জল
2962,জিএলএস,জিএলএস,জিএলএস
2963,কান্ডেলের,কান্ডেল,কান্ডেল
2964,লবণশিল্পে,লবণশিল্প,লবণশিল্প
2965,ক্রফট্,ক্রফট্,ক্রফট্
2966,একার,একা,একা
2967,গারসিয়া,গারসিয়া,গারসিয়া
2968,ঝড়নার,ঝড়না,ঝড়না
2969,চর্ম্মাবশিষ্ট,চর্ম্মাবশিষ্ট,চর্ম্মাবশিষ্ট
2970,জুয়ো,জুয়ো,জুয়ো
2971,প্রযোজক,প্রযোজক,প্রযোজক
2972,লীগ,লীগ,লীগ
2973,অপ্রতীতি,অপ্রতীতি,অপ্রতীতি
2974,জব্বার,জব্বার,জব্বার
2975,গ্রেফতারির,গ্রেফতারি,গ্রেফতারি
2976,কুলিশেনকোকে,কুলিশেনকোক,কুলিশেনকোক
2977,প্রাণকেন্দ্র,প্রাণকেন্দ্র,প্রাণকেন্দ্র
2978,ক্রূরমতি,ক্রূর,ক্রূরমতি
2979,পালকসমূহ,পালক,পালক
2980,সংরম্ভী,সংরম্ভী,সংরম্ভী
2981,ফেরীওয়ালা,ফেরীওয়ালা,ফেরীওয়ালা
2982,ব্র্যানডেনবার্গ,ব্র্যানডেনবার্গ,ব্র্যানডেনবার্গ
2983,অমিদা,অমিদ,অমিদা
2984,অ্যানিমারিও,অ্যানিমারিও,অ্যানিমারিও
2985,জাওয়াবের,জাওয়াব,জাওয়াব
2986,চারলট,চারলট,চারলট
2987,ভালবাসিনি,ভালবাসা,ভালবাসা
2988,প্রশাসক,প্রশাসক,প্রশাসক
2989,ফিল্মোগ্রাফি,ফিল্মোগ্রাফি,ফিল্মোগ্রাফি
2990,কমান্ডার,কমান্ডার,কমান্ডার
2991,মুরগি,মুরগি,মুরগি
2992,সোমসা,সোমসা,সোমসা
2993,মৃতপ্রায়,মৃতপ্রায়,মৃতপ্রায়
2994,পাকিস্তানীদের,পাকিস্তানী,পাকিস্তানী
2995,গর্বগ্রুহের,গর্বগ্রুহ,গর্বগ্রুহ
2996,পরিষদবর্গের,পরিষদবর্গ,পরিষদবর্গ
2997,গ্রহটিতেই,গ্রহ,গ্রহ
2998,আবদুলফাত্তাহ,আবদুলফাত্তাহ,আবদুলফাত্তাহ
2999,পালঙ্কে,পালঙ্ক,পালঙ্ক
3000,অস্ত্রাগার,অস্ত্রাগার,অস্ত্রাগার
3001,শসার,শসা,শসা
3002,করতঃ,করা,করা
3003,এক্সিম,এক্সিম,এক্সিম
3004,তাতারস্তানের,তাতারস্তান,তাতারস্তান
3005,মনপরিবর্ত্তন,মন,মন
3006,সার্কাসের,সার্কাস,সার্কাস
3007,বোয়াদজিয়েভ,বোয়াদজিয়েভ,বোয়াদজিয়েভ
3008,বদমাশটা,বদমাশ,বদমাশ
3009,নিক্ষেপকারীরা,নিক্ষেপকারী,নিক্ষেপকারী
3010,জড়োসরো,জড়ো,জড়োসরো
3011,ন্যায্যতার,ন্যায্য,ন্যায্যতা
3012,লুরিয়ার,লুরিয়া,লুরিয়া
3013,লাগানোটা,লাগানো,লাগানো
3014,কেলসে,কেলস,কেলস
3015,মুসলিম,মুসলিম,মুসলিম
3016,ভিত্তির,ভিত্তি,ভিত্তি
3017,কলাকৌশলগুলোকে,কলাকৌশল,কলাকৌশল
3018,হোমোফোবিয়ার,হোমোফোবিয়া,হোমোফোবিয়া
3019,প্রতিশ্রুতিটি,প্রতিশ্রুতি,প্রতিশ্রুতি
3020,বেনোপোর্টের,বেনোপোর্ট,বেনোপোর্ট
3021,তিনজনকে,তিন,তিন
3022,ছড়ালেও,ছড়ানো,ছড়ানো
3023,সুভাষ,সুভাষ,সুভাষ
3024,শিল্পিই,শিল্প,শিল্প
3025,পাভলো,পাভা,পাভা
3026,স্বাক্ষরযুক্ত,স্বাক্ষর,স্বাক্ষরযুক্ত
3027,জিতোমাগারো,জিতোমাগারো,জিতোমাগারো
3028,রোডে,রোড,রোডে
3029,গুড়া,গুড়া,গুড়া
3030,হাতায়,হাতা,হাতা
3031,ট্রেসিঃ,ট্রেসি,ট্রেসি
3032,অনাকীয়দের,অনাকীয়,অনাকীয়
3033,আর্থশক্তির,আর্থশক্তি,আর্থশক্তি
3034,প্লাবনভূমিসমূহ,প্লাবনভূমি,প্লাবনভূমি
3035,বরপক্ষকে,বরপক্ষ,বরপক্ষ
3036,ব্যবাসায়ীরা,ব্যবসায়ী,ব্যবসা
3037,জেএমপি,জেএমপি,জেএমপি
3038,দুইদিনের,দুই,দুই
3039,বলেনঃ,বলা,বলা
3040,তরীকা,তরীকা,তরীকা
3041,জাগিওনা,জাগানো,জাগানো
3042,মাদারবাড়ীর,মাদারবাড়ী,মাদারবাড়ী
3043,সময়টি,সময়,সময়
3044,প্রসঙ্গত,প্রসঙ্গত,প্রসঙ্গত
3045,ক্রুসেড,ক্রুসেড,ক্রুসেড
3046,অপহ্নব,অপহ্নব,অপহ্নব
3047,প্লানিং,প্লানিং,প্লানিং
3048,কামারগাঁও,কামারগাঁও,কামারগাঁও
3049,তুলতেন,তোলা,তোলা
3050,কাতসুইয়ামার,কাতসুই,কাতসুই
3051,ছুঁবি,ছুঁয়া,ছোঁবা
3052,জ্বালামুখ,জ্বালামুখ,জ্বালামুখ
3053,দ্বীপপুঞ্জটিকেও,দ্বীপপুঞ্জ,দ্বীপপুঞ্জ
3054,মুভমেন্ট,মুভমেন্ট,মুভমেন্ট
3055,পিতৃব্যকেও,পিতৃব্যকে,পিতৃব্যকে
3056,করাচির,করাচির,করাচির
3057,তিওয়ারিকে,তিওয়ারি,তিওয়ারি
3058,অ্যা্রাইল,অ্যা্রাইল,অ্যা্রাইল
3059,বোঝাতে,বোঝা,বোঝা
3060,বিধুশেখরকে,বিধুশেখর,বিধুশেখর
3061,ফিউরির,ফিউরি,ফিউরি
3062,খুলিলেন,খোলা,খোলা
3063,হেস্টিংস,হেস্টিংস,হেস্টিংস
3064,অপ্রিতিকর,অপ্রিত,অপ্রিত
3065,সনদের,সনদ,সনদ
3066,ট্রাইবুনালটি,ট্রাইবুনাল,ট্রাইবুনাল
3067,ভয়েস,ভয়েস,ভয়েস
3068,স্বহস্তে,স্বহস্ত,স্বহস্ত
3069,দুপুর,দুপুর,দুপুর
3070,সংমিশ্রণজাত,সংমিশ্রণ,সংমিশ্রণ
3071,শিক্ষানীতি,শিক্ষানীতি,শিক্ষানীতি
3072,ঝুকবে,ঝুকা,ঝুকা
3073,পটকা,পটকা,পটকা
3074,প্রানীদের,প্রানী,প্রানী
3075,পাঠিয়েছে,পাঠানো,পাঠানো
3076,আঙ্গারে,আঙ্গার,আঙ্গার
3077,কাজীবাড়ীর,কাজীবাড়ী,কাজীবাড়ী
3078,বলপূর্বক,বলপূর্ব,বলপূর্বক
3079,এনস্টুক্লোপেডি,এনস্টুক্লোপেডি,এনস্টুক্লোপেডি
3080,লাহোরের,লাহোর,লাহোর
3081,পরামর্শমতো,পরামর্শ,পরামর্শ
3082,স্মৃতিস্মম্ভ,স্মৃতিস্মম্ভ,স্মৃতিস্মম্ভ
3083,মনস্তাত্বিকের,মনস্তাত্বিক,মনস্তাত্বিক
3084,প্যাটসির,প্যাটসি,প্যাটসি
3085,বানু,বানু,বানু
3086,কিরগিজস্তানে,কিরগিজস্তান,কিরগিজস্তান
3087,চক্রান্তও,চক্রান্ত,চক্রান্ত
3088,বিইএসইউ,বিইএসইউ,বিইএসইউ
3089,ভালোদের,ভালো,ভালো
3090,অর্থনৈতিকভাবে,অর্থনীতি,অর্থনীতি
3091,ক্লন্ট,ক্লন্ট,ক্লন্ট
3092,ইস্টের,ইস্ট,ইস্ট
3093,ক্যন্দিতার,ক্যন্দিতা,ক্যন্দিতা
3094,ক্রিকে,ক্রিক,ক্রিক
3095,সামাদ,সামাদ,সামাদ
3096,ডিফেন্স,ডিফেন্স,ডিফেন্স
3097,অভিনয়কার,অভিনয়,অভিনয়
3098,ফুটবলের,ফুটবল,ফুটবল
3099,সাড়া,সাড়া,সাড়া
3100,দাপাদাপির,দাপাদাপি,দাপাদাপি
3101,পারকিন্সের,পারকিন্স,পারকিন্স
3102,পৌরসভার,পৌরসভা,পৌরসভা
3103,আলমগীর,আলমগীর,আলমগীর
3104,মালয়েশিয়ার,মালয়েশিয়া,মালয়েশিয়া
3105,প্রথমদিকে,প্রথমদিক,প্রথমদিক
3106,থাইল্যান্ডে,থাইল্যান্ড,থাইল্যান্ড
3107,তাপমাত্রার,তাপমাত্রা,তাপমাত্রা
3108,কবিতাসমূহ,কবিতা,কবিতা
3109,দুশ্চিন্তাগ্রস্ত,দুশ্চিন্তা,দুশ্চিন্তা
3110,প্রোসথেটিক,প্রোসথেটিক,প্রোসথেটিক
3111,অনুসূচী,অনুসূচী,অনুসূচী
3112,অন্নসংস্থানকারী,অন্নসংস্থানকারী,অন্নসংস্থানকারী
3113,চ্যাম্পিওনাটো,চ্যাম্পিওনা,চ্যাম্পিওনাটো
3114,কর্মজীবনে,কর্মজীবন,কর্মজীবন
3115,নৈকতলীয়,নৈকতল,নৈকতলী
3116,অতিশৌখিনতা,অতিশৌখিন,অতিশৌখিন
3117,অ্যাসেম্ব্লিজ,অ্যাসেম্ব্লিজ,অ্যাসেম্ব্লিজ
3118,আলঘাবরি,আলঘাবরি,আলঘাবরি
3119,কহিবে,কওয়া,কওয়া
3120,নাটকীয়তার,নাটকীয়তা,নাটকীয়তা
3121,গলাব্যাথা,গলাব্যাথা,গলাব্যাথা
3122,ঊনব্যবহার,ঊনব্যবহার,ঊনব্যবহার
3123,অগ্রনায়ক,অগ্রনায়ক,অগ্রনায়ক
3124,অধিগ্রহণের,অধিগ্রহণ,অধিগ্রহণ
3125,বিত্তবানদের,বিত্তবান,বিত্তবান
3126,ঝুঁকিতে,ঝুঁকি,ঝুঁকি
3127,সমাবেশ,সমাবেশ,সমাবেশ
3128,ঘোষনা,ঘোষনা,ঘোষনা
3129,স্বতঃ,স্বতঃ,স্বতঃ
3130,ট্র্যাভেলার্স,ট্র্যাভেলার্স,ট্র্যাভেলার্স
3131,পাড়াপ্রতিবেশীদের,পাড়াপ্রতিবেশী,পাড়াপ্রতিবেশী
3132,কুবরাকে,কুবরা,কুবরা
3133,সংখ্যাও,সংখ্যা,সংখ্যা
3134,অনুলিপিকৃত,অনুলিপিকৃত,অনুলিপিকৃত
3135,হাউসগুলি,হাউস,হাউস
3136,টিউনিক,টিউনিক,টিউনিক
3137,ইলিয়াসশাহী,ইলিয়াসশাহী,ইলিয়াসশাহী
3138,উদ্দণ্ডপুরের,উদ্দণ্ডপুর,উদ্দণ্ডপুর
3139,ইন্দো,ইন্দো,ইন্দো
3140,মঠটিতে,মঠ,মঠ
3141,রোডিং,রোডিং,রোডিং
3142,কিসলভোডস্কে,কিসলভোডস্ক,কিসলভোডস্ক
3143,দিল্লীতে,দিল্লী,দিল্লী
3144,ভাঙ্গা,ভাঙ্গা,ভাঙ্গা
3145,এস্তাইলকে,এস্তাইল,এস্তাইল
3146,পরীক্ষাগুলির,পরীক্ষা,পরীক্ষা
3147,লাঙলটাকে,লাঙল,লাঙলটা
3148,দিয়েছিলাম,দেওয়া,দেওয়া
3149,বড়ালব্রিজের,বড়ালব্রিজ,বড়ালব্রিজ
3150,বর্তমানেও,বর্তমান,বর্তমান
3151,ক্রীতদাসেরা,ক্রীতদাস,ক্রীতদাস
3152,ধর্মসংগীত,ধর্মসংগীত,ধর্মসংগীত
3153,মুস্তাফিজুর,মুস্তাফিজুর,মুস্তাফিজুর
3154,ওয়ার্কসপ,ওয়ার্কসপ,ওয়ার্কসপ
3155,আচারপরায়ণতা,আচারপরায়ণ,আচারপরায়ণ
3156,বৃদ্ধিকে,বৃদ্ধি,বৃদ্ধি
3157,মেদেইরোসের,মেদেইরোস,মেদেইরোস
3158,সিগারেটও,সিগারেট,সিগারেট
3159,একডালা,একডালা,একডালা
3160,প্রত্যাবর্তন,প্রত্যাবর্তন,প্রত্যাবর্তন
3161,আফসারিবাদ,আফসারিবাদ,আফসারিবাদ
3162,নেতৃত্বগুলি,নেতৃত্ব,নেতৃত্ব
3163,মাসোহারা,মাসোহারা,মাসোহারা
3164,কন্সালশীপের,কন্সালশীপ,কন্সালশীপ
3165,দ্বীনে,দ্বীন,দ্বীন
3166,ইলিয়টের,ইলিয়ট,ইলিয়ট
3167,সুপাল,সুপাল,সুপাল
3168,সিংহগুলি,সিংহ,সিংহ
3169,আপিসে,আপিস,আপিস
3170,যুুুক্তিসঙ্গত,যুুুক্তি,যুুুক্তি
3171,রিঙ্গিতেরও,রিঙ্গিতের,রিঙ্গিতের
3172,একছড়া,এক,একছড়া
3173,ভিস্কাইভস,ভিস্কাইভস,ভিস্কাইভস
3174,মবার,মবা,মবা
3175,অস্ট্রিয়ানদের,অস্ট্রিয়ান,অস্ট্রিয়ান
3176,তাককৃত,তাককৃত,তাককৃত
3177,মোড়,মোড়,মোড়
3178,সাপেক্ষে,সাপেক্ষ,সাপেক্ষ
3179,টাঙ্গিয়েছে,টাঙ্গা,টাঙ্গানো
3180,ছড়তে,ছড়ানো,ছড়ানো
3181,আশাপ্রদ,আশা,আশা
3182,ফসলহানির,ফসলহানি,ফসলহানি
3183,ধামতড়ি,ধামতড়ি,ধামতড়ি
3184,বাদকের,বাদক,বাদক
3185,প্যাকম্যান,প্যাকম্যান,প্যাকম্যান
3186,অবিশেষ,অবিশেষ,অবিশেষ
3187,শামীমের,শামীম,শামীম
3188,ছক্কাদ্বয়ের,ছক্কাদ্বয়,ছক্কাদ্বয়
3189,তথাকথিত,তথাকথিত,তথাকথিত
3190,অলৌকিককতা,অলৌকিককতা,অলৌকিককতা
3191,নৈজভোজে,নৈজভোজ,নৈজভোজ
3192,খেলাবিশেষ,খেলা,খেলাবিশেষ
3193,ভূগোলবিদরা,ভূগোলবিদ,ভূগোলবিদ
3194,সতের,সতের,সতের
3195,নিয়েতোর,নিয়েতো,নিয়েতো
3196,নৌবহরের,নৌবহর,নৌবহর
3197,গারো,গারো,গারো
3198,ট্রেসিরও,ট্রেসি,ট্রেসি
3199,সম্পাদন,সম্পন,সম্পাদন
3200,কালকের,কাল,কাল
3201,অ্যাবান,অ্যাবান,অ্যাবান
3202,অরামে,অরাম,অরাম
3203,লেখাকে,লেখা,লেখা
3204,মূল্যকে,মূল্য,মূল্য
3205,লাহোরির,লাহোরি,লাহোরি
3206,কৌশলসাধ্য,কৌশল,কৌশল
3207,অক্লান্তি,অক্লান্ত,অক্লান্তি
3208,মানবঘটিত,মানবঘটন,মানবঘটন
3209,মোহনবাগান,মোহনবাগান,মোহনবাগান
3210,এক্রোনিম,এক্রোনিম,এক্রোনিম
3211,কতখানি,কত,কত
3212,ইউলি,ইউলি,ইউলি
3213,শিকাগো,শিকাগো,শিকাগো
3214,থাকেঃ,থাকা,থাকা
3215,ভাওয়াইয়া,ভাওয়া,ভাওয়া
3216,কাসেরিন,কাসেরিন,কাসেরিন
3217,জ্যোতির্বিদের,জ্যোতির্বিদ,জ্যোতির্বিদ
3218,স্টার,স্টার,স্টার
3219,মোল্লারচর,মোল্লারচর,মোল্লারচর
3220,ওধিক,ওধিক,ওধিক
3221,উত্তোরত্তর,উত্তোরওর,উত্তোর
3222,ইলিনয়েসে,ইলিনয়েস,ইলিনয়েস
3223,মুখোমুখি,মুখোমুখি,মুখোমুখি
3224,আলিয়ারহাট,আলিয়ারহাট,আলিয়ারহাট
3225,গীতিকায়,গীতিকায়,গীতিকা
3226,আয়ারল্যান্ডের,আয়ারল্যান্ড,আয়ারল্যান্ড
3227,কর্পোরেশনস,কর্পোরেশন,কর্পোরেশন
3228,অনন্তরাশি,অনন্তরাশি,অনন্তরাশি
3229,অর্ঘ,অর্ঘ,অর্ঘ
3230,কুন্ডির,কুন্ডি,কুন্ডি
3231,উষ্ণতম,উষ্ণ,উষ্ণ
3232,মোবারকে,মোবারক,মোবারক
3233,পৌত্তলিকতাবাদ,পৌত্তলিকতাবাদ,পৌত্তলিকতাবাদ
3234,সার্ভিসের,সার্ভিস,সার্ভিস
3235,গভর্নমেন্ট,গভর্নমেন্ট,গভর্নমেন্ট
3236,এনক্রুমাহ,এনক্রুমাহ,এনক্রুমাহ
3237,নবমালিকা,নবমালিকা,নবমালিকা
3238,অসম্পূণর্,অসম্পূণ,অসম্পূণ
3239,এতদ্দেশে,এতদ্দেশ,এতদ্দেশ
3240,ভাগ্যসম্পর্কে,ভাগ্যসম্পর্ক,ভাগ্যসম্পর্ক
3241,দূতাবাস,দূতাবাস,দূতাবাস
3242,উনসত্তুরের,উনসত্তুর,উনসত্তুর
3243,মতামতগুলি,মতামত,মতামত
3244,করেছিস,করা,করা
3245,প্রাপ্তি,প্রাপ্তি,প্রাপ্তি
3246,বিষয়টির,বিষয়,বিষয়
3247,যিশাইয়ের,যিশা,যিশাই
3248,বালুখালী,বালুখালী,বালুখালী
3249,এনকোডিং,এনকোডিং,এনকোডিং
3250,প্রাচীনদের,প্রাচীন,প্রাচীন
3251,ইয়েরেভানে,ইয়েরেভান,ইয়েরেভান
3252,ওয়িকিক্স,ওয়িকিক্স,ওয়িকিক্স
3253,চরিত্রসমূহকে,চরিত্র,চরিত্র
3254,নেজরাদঃ,নেজরাদ,নেজরাদ
3255,সোশ্যাল,সোশ্যাল,সোশ্যাল
3256,নির্বাচনঃ,নির্বাচন,নির্বাচন
3257,সাথিয়া,সাথিয়া,সাথিয়া
3258,হর্মোনীয়,হর্মোন,হর্মোনী
3259,ববিওর,ববি,ববি
3260,সঙ্কেতায়ন,সঙ্কেত,সঙ্কেত
3261,ঝাঁপ,ঝাঁপ,ঝাঁপ
3262,হুংকে,হুংক,হুংক
3263,বিজয়ী,বিজয়,বিজয়
3264,বন্ধুত্বপূর্ণ,বন্ধুত্ব,বন্ধুত্ব
3265,আলফিও,আলফি,আলফি
3266,কাদেঁ,কাঁদা,কাঁদা
3267,গঠনকারীদের,গঠনকারী,গঠনকারী
3268,লক্ষণগুলোর,লক্ষণ,লক্ষণ
3269,এক্সডির,এক্সডি,এক্সডি
3270,আলহেলাল,আলহেলাল,আলহেলাল
3271,বাস্তবায়নে,বাস্তবায়ন,বাস্তবায়ন
3272,মাইক্রোসিস্টেম্,মাইক্রোসিস্টেম্,মাইক্রোসিস্টেম্
3273,একনেক,একনেক,একনেক
3274,সামগ্রীগুলিতে,সামগ্রী,সামগ্রী
3275,চারটেয়,চার,চার
3276,এবোরিজিনদের,এবোরিজিন,এবোরিজিন
3277,বছরগুলিতে,বছর,বছর
3278,রাগিণীও,রাগ,রাগ
3279,দানব,দানব,দানব
3280,শূকরগুলি,শূকর,শূকর
3281,ফোলারকে,ফোলার,ফোলার
3282,অঙ্গরূপেই,অঙ্গরূপ,অঙ্গরূপ
3283,গউনাতে,গউনা,গউনা
3284,সর্বসাধারণে,সর্বসাধারণ,সর্বসাধারণ
3285,ম্যাককর্মিককে,ম্যাককর্মি,ম্যাককর্মিক
3286,পয়লা,পয়লা,পয়লা
3287,সুথ,সুথ,সুথ
3288,স্পুনস,স্পুন,স্পুনস
3289,বায়ুদূষণ,বায়ুদূষণ,বায়ুদূষণ
3290,খেয়াঘাট,খেয়াঘাট,খেয়াঘাট
3291,দায়িত্বশীলতা,দায়িত্বশীল,দায়িত্বশীল
3292,গমের,গম,গম
3293,এলিস,এলিস,এলিস
3294,ফেল,ফেল,ফেল
3295,এরদোগানের,এরদোগান,এরদোগান
3296,পালটিয়েছিলেন,পালটানো,পালটানো
3297,কেন্দ্রাতিগ,কেন্দ্র,কেন্দ্র
3298,গতপত্রে,গতপত্র,গতপত্র
3299,বিঘাত,বিঘাত,বিঘাত
3300,হিটজফেল্ড,হিটজফেল্ড,হিটজফেল্ড
3301,এরোপ্লেন,এরোপ্লেন,এরোপ্লেন
3302,উরগাশন,উরগাশন,উরগাশন
3303,এ্যনিমেল,এ্যনিমেল,এ্যনিমেল
3304,সমালোচকদের,সমালোচক,সমালোচক
3305,শিল্পাঙ্গিক,শিল্পাঙ্গিক,শিল্পাঙ্গিক
3306,বাহিনীরই,বাহিনী,বাহিনী
3307,খনিটি,খনি,খনি
3308,গজপতি,গজপতি,গজপতি
3309,খুঁজছিলো,খুঁজা,খোঁজা
3310,পদক্ষেপের,পদক্ষেপ,পদক্ষেপ
3311,জাতিধ্বংসকর,জাতিধ্বংসকর,জাতিধ্বংসকর
3312,আইসিসের,আইসিস,আইসিস
3313,ব্যহৃত,ব্যহৃত,ব্যহৃত
3314,মিনেসের,মিনেস,মিনেস
3315,হোল্ডওভার,হোল্ডওভার,হোল্ডওভার
3316,বিরতিস্থানটি,বিরতিস্থান,বিরতিস্থান
3317,ইরাকবাসীদের,ইরাকবাসী,ইরাকবাসী
3318,নেতৃস্থানীয়,নেতৃত্ব,নেতৃত্ব
3319,গজাল,গজাল,গজাল
3320,তারবাজনা,তারবাজনা,তারবাজনা
3321,সূর্যসিদ্ধান্তর,সূর্যসিদ্ধান্ত,সূর্যসিদ্ধান্ত
3322,সমাবর্তনের,সমাবর্তন,সমাবর্তন
3323,ওয়েইবোর,ওয়েইবো,ওয়েইবো
3324,রাস্তাও,রাস্তা,রাস্তা
3325,পর্যবেক্ষণাগার,পর্যবেক্ষণ,পর্যবেক্ষণাগার
3326,জংলার,জংলা,জংলা
3327,অবিন্যস্ত,অবিন্যস্ত,অবিন্যস্ত
3328,সেন্টোসার,সেন্টোসার,সেন্টোসার
3329,সৌজন্যেযদি,সৌজন্যেযদি,সৌজন্যেযদি
3330,রকিয়া,রকিয়া,রকিয়া
3331,সমাজবিপ্লব,সমাজবিপ্লব,সমাজবিপ্লব
3332,টাঙ্গায়,টাঙ্গা,টাঙ্গা
3333,সার্ব্বভৌমত্বের,সার্ব্বভৌমত্ব,সার্ব্বভৌমত্ব
3334,শুনছেন,শোনা,শোনা
3335,অন্তকরণকে,অন্তকরণ,অন্তকরণ
3336,সুবন্দোবস্তের,সুবন্দোবস্ত,সুবন্দোবস্ত
3337,নিরঙ্কুশ,নিরঙ্কুশ,নিরঙ্কুশ
3338,পীরাবাড়ী,পীরাবাড়ী,পীরাবাড়ী
3339,উচ্চকক্ষে,উচ্চকক্ষ,উচ্চকক্ষ
3340,অন্ডথলি,অন্ড,অন্ডথলি
3341,ওএফএক্স,ওএফএক্স,ওএফএক্স
3342,বাবিলনীয়,বাবিলন,বাবিলন
3343,পারমানবিকে,পারমানবিক,পারমানবিক
3344,খাসি,খাসি,খাসি
3345,সাগওয়ানি,সাগওয়ান,সাগওয়ান
3346,সরকারগুলোতে,সরকার,সরকার
3347,এ্যাডাম,এ্যাডাম,এ্যাডাম
3348,বাল্যকালের,বাল্য,বাল্য
3349,রোচেস্টারের,রোচেস্টার,রোচেস্টার
3350,এ্যালকেমি,এ্যালকেমি,এ্যালকেমি
3351,কারাগার,কারাগার,কারাগার
3352,রয়েল,রয়েল,রয়েল
3353,খাদ্যবস্ত্ত,খাদ্য,খাদ্য
3354,লেখকের,লেখক,লেখক
3355,চত্বারিংশত্তম,চত্বারিংশ,চত্বারিংশ
3356,এসোয়াতিনি,এসোয়াতিনি,এসোয়াতিনি
3357,কর্পোরাটাইজড,কর্পোরাটাইজড,কর্পোরাটাইজড
3358,অনুমতিদায়ক,অনুমতিদায়,অনুমতি
3359,আজারবাইজানীয়দের,আজারবাইজানীয়,আজারবাইজানীয়
3360,আঘাতদ্বারা,আঘাত,আঘাত
3361,দীর্ঘমেয়াদী,দীর্ঘমেয়াদ,দীর্ঘমেয়াদ
3362,সৌধটি,সৌধ,সৌধ
3363,ফলস্বরুপপরিণত,ফলস্বরুপ,ফলস্বরুপ
3364,খুঁড়তে,খুঁড়,খুঁড়া
3365,নির্দেশিকা,নির্দেশিকা,নির্দেশিকা
3366,আজমীর,আজমীর,আজমীর
3367,অনুচ্চকণ্ঠে,অনুচ্চকণ্ঠ,অনুচ্চকণ্ঠ
3368,টেকা,টেকা,টেকা
3369,মুনগ্লোজ,মুনগ্লোজ,মুনগ্লোজ
3370,টীম,টীম,টীম
3371,দেখার,দেখা,দেখা
3372,তৃপ্তিসাধনের,তৃপ্তিসাধন,তৃপ্তিসাধন
3373,অভিপ্রায়সমূহের,অভিপ্রায়,অভিপ্রায়
3374,ইয়ুকারির,ইয়ুকারি,ইয়ুকারি
3375,লেডিকে,লেডিক,লেডিক
3376,শেয়ারব্যবসায়ী,শেয়ারব্যবসায়ী,শেয়ারব্যবসায়ী
3377,পাইলন,পাইলন,পাইলন
3378,একশটারও,একশ,একশ
3379,শ্রদ্ধাবোধের,শ্রদ্ধাবোধ,শ্রদ্ধাবোধ
3380,দিছিলাম,দেওয়া,দেওয়া
3381,ভুটিয়া,ভোটানো,ভুটিয়া
3382,শিখরী,শিখর,শিখরী
3383,বারাতি,বারাতি,বারাতি
3384,কর্নত্তয়ালদেশীয়,কর্নত্তয়ালদেশী,কর্নত্তয়ালদেশী
3385,দুশ্চিন্তাহীন,দুশ্চিন্তাহীন,দুশ্চিন্তাহীন
3386,নিম্নাংশেরও,নিম্নাংশ,নিম্নাংশ
3387,খায়রুনের,খায়রুন,খায়রুন
3388,কতগুলো,কত,কত
3389,তামারা,তামারা,তামারা
3390,বেকারত্ব,বেকার,বেকার
3391,জমিদারিকে,জমিদারি,জমিদারি
3392,অস্ত্রাগারের,অস্ত্রাগার,অস্ত্রাগার
3393,ফায়ারওয়ালও,ফায়ারওয়াল,ফায়ারওয়াল
3394,অ্যাকাউন্টেন্টস,অ্যাকাউন্টেন্টস,অ্যাকাউন্টেন্টস
3395,সংগ্রহস্থলগুলি,সংগ্রহস্থল,সংগ্রহস্থল
3396,বিধ্বংসী,বিধ্বংস,বিধ্বংসী
3397,সিপাহসালারের,সিপাহসালা,সিপাহসালার
3398,মুসলিমদের,মুসলিম,মুসলিম
3399,চৌয়ের,চৌ,চৌ
3400,আতুপেলে,আতুপেল,আতুপেল
3401,সমৃদ্ধকর,সমৃদ্ধ,সমৃদ্ধ
3402,যীশুর,যীশু,যীশু
3403,অভি্যোজিত,অভি্যোজিত,অভি্যোজিত
3404,ডিজাস্টারের,ডিজাস্টার,ডিজাস্টার
3405,ডেব্যাগ,ডেব্যাগ,ডেব্যাগ
3406,এনহুদাকে,এনহুদা,এনহুদা
3407,আলগোরিদমীয়,আলগোরিদম,আলগোরিদম
3408,হূরিয়াতে,হূরিয়া,হূরিয়া
3409,ভক্তবৃন্দ,ভক্ত,ভক্ত
3410,আরিস্তোতেল্যাস্,আরিস্তোতেল্যাস্,আরিস্তোতেল্যাস্
3411,অনাহারের,আনাহার,অনাহার
3412,ঘুড়তে,ঘুড়া,ঘুরা
3413,বিমানসংস্থাকে,বিমানসংস্থাকে,বিমানসংস্থাকে
3414,আরদেশির,আরদেশি,আরদেশি
3415,নাওয়ার,নাওয়া,নাওয়া
3416,ইয়োগোসলাভিয়া,ইয়োগোসলাভিয়া,ইয়োগোসলাভিয়া
3417,সুরেরই,সুর,সুর
3418,জনগোষ্ঠীও,জনগোষ্ঠী,জনগোষ্ঠী
