,y,y_pred
811,রাসায়নিক,রাসায়নিক
812,ভূগোল,ভূগোল
813,মল,মল
814,প্রদর্শন,প্রদর্শন
815,ঝরনা,ঝরনা
816,ওমিদিইয়ার,ওমিদিইয়া
817,অষ্টভূজ,অষ্টভূজ
818,কমনস,কমনস
819,বিনোদিনী,বিনোদিনী
820,যোগ্য,যোগ্য
821,অব্রাহাম,অব্রাহাম
822,ইউনিসেফ,ইউনিসেফ
823,দেওয়া,দেওয়া
824,যন্ত্রণা,যন্ত্রণা
825,লেখা,লেখা
826,প্রতিবন্ধী,প্রতিবন্ধী
827,কায়দা,কায়দা
828,সাতচাড়া,সাতচাড়া
829,রিং,রিং
830,ইয়োহান,ইয়োহান
831,গতি,গতি
832,সৃষ্টি,সৃষ্টি
833,শিক্ষা,শিক্ষা
834,স্নাতকোত্তর,স্নাতকোত্তর
835,ঘন্টা,ঘন্টা
836,ঠাসা,ঠাসা
837,দেশ,দেশ
838,আরাম,আরাম
839,ক্ষতিগ্রস্ত,ক্ষতিগ্রস্ত
840,কোটি,কোটি
841,ষাঁড়,ষাঁড়
842,ধাঁধা,ধাঁধা
843,গোল্ডম্যান,গোল্ডম্যান
844,নিমন্ত্রন,নিমন্ত্রন
845,আশীর্বাদ,আশীর্বাদ
846,রচনাকাল,রচনা
847,মন্দির,মন্দির
848,অনুবাদ,অনুবাদ
849,অবয়ব,অবয়ব
850,পারিবার,পারিবারিক
851,অপরিণত,অপরিণু
852,ভদ্রমহোদয়,ভদ্রমহোদয়গণ
853,দায়িত্ব,দায়িত্ব
854,রাজ,রাজ
855,বহুদূরে,বহুদূরেই
856,বেলেপাথর,বেলেপাথর
857,অস্থায়ী,অস্থায়ী
858,মাতারবাড়ি,মাতারবাড়ি
859,ঘটা,ঘটা
860,আলোকসজ্জা,আলোকসজ্জা
861,মানচিত্র,মানচিত্র
862,ব্যাপ্ত,ব্যাপ্তি
863,বাল্ব,বাল্ব
864,কোমল,কোমল
865,সওদা,সওদা
866,অভিযান,অভিযান
867,অনাথ,অনাথ
868,মহালাছড়ি,মহালছড়ি
869,নবান্ন,নবান্ন
870,স্যামসাং,স্যামসাং
871,তটরেখা,তটরেখা
872,টুল,টুল
873,ভাঙা,ভাঙা
874,অন্তর্হিত,অন্তর্হিত
875,পররাষ্ট্রমন্ত্রী,পররাষ্ট্রমন্ত্রী
876,গাঁথুনি,গাঁথুনি
877,পাড়া,পাড়া
878,করা,করা
879,আত্মপ্রকাশ,আত্মপ্রকাশ
880,ষাট,ষাট
881,বায়ু,বায়ুযান
882,একদল,একদল
883,কেনিয়া,কেনিয়া
884,দস্তুর,দস্তু
885,আক্ষরিক,আক্ষরিক
886,ফেলা,ফেলা
887,মেঘ,মেঘনা
888,করা,করা
889,বোন,বোন
890,প্রাককলন,প্রাককলন
891,আদিবাসী,আদিবাসী
892,চক্র,চক্রান্ত
893,গাভী,গাভী
894,উল্লেখ,উল্লেখ
895,কটাক্ষ,কটাক্ষেত্র
896,নির্ণং,নির্ণং
897,লেখা,লেখা
898,দেওয়া,দেওয়া
899,অনুগামী,অনুগামী
900,দাঁড়াশ,দাঁড়াশ
901,মেয়ে,মেয়ে
902,অক্লান্ত,অক্লান্ত
903,নাকি,নাকি
904,আরোপ,আরোপ
905,ফ্র্যাঙ্ক,ফ্র্যাঙ্ক
906,আমিরাত,আমিরা
907,নাসর,নাসরীয়
908,গুনাহ,গুনাহ
909,পারস্য,পারস্য
910,শিল্প,শিল্পকর্ম
911,নৃশংস,নৃশংস
912,দোয়া,দোয়া
913,এরশাদ,এরশাদ
914,সৃষ্টি,সৃষ্ট
915,ধান,ধান
916,আভিজাত্য,আভিজাত্যবাদ
917,বৌ,বৌ
918,আত্মদান,আত্মদান
919,রওয়া,রওয়া
920,প্রোডাক্ট,প্রোডাক্টর
921,প্রাণবন্ত,প্রাণবন্ত
922,ধনগৃহ,ধনীগৃহের
923,ইলেক্ট্রিক্যাল,ইলেক্ট্রিক্যাল
924,কথাবার্তা,কথা
925,কর্মী,কর্মী
926,কাচা,কাচা
927,জীবন,জীবনীকার
928,সমবেদনা,সমবেদনা
929,মদ,মদ্যপান
930,নির্ম্মাণ,নির্ম্মাণ
931,প্রতিসমতা,প্রতিসমতা
932,চিহ্ন,চিহ্ন
933,পাশ্চাত্য,পাশ্চাত্য
934,ইউআই,ইউআই
935,মেয়ে,মেয়ে
936,ঘূর্ণিরূপ,ঘূর্ণিরূপ
937,খুশি,খুশি
938,গড়ালি,গড়া
939,ফাল্গুন,ফাল্গুন
940,তীর,তীর
941,প্রবন্ধ,প্রবন্ধ
942,রেলস্টেশন,রেলস্টেশন
943,কাপড়,কাপড়
944,জেলে,জেলে
945,গুনাম,গুনামা
946,লাভ,লাভ
947,কফ,কফ
948,নোরড,নোরড
949,কুমড়া,কুমড়া
950,পড়া,পড়া
951,অদলবদল,অদলবদল
952,বসতবাড়ি,বসতবাড়ি
953,আড়ৎ,আড়ৎ
954,নাপিত,নাপিত
955,লড়াই,লড়াই
956,সেয়ী,সেয়া
957,প্রভু,প্রভু
958,কাচা,কাচা
959,অধ্যয়ন,অধ্যয়ন
960,গম্বুজ,গম্বুজবিশিষ্ট
961,টারড,টারডে
962,পড়া,পড়া
963,বিষয়শ্রেণী,বিষয়শ্রেণী
964,নিশ্চয়,নিশ্চয়তা
965,সাজানো,সাজানো
966,দৌড়,দৌড়
967,ছোটো,ছোটো
968,জানানো,জানা
969,কাঞ্চন,কাঞ্চন
970,অনুল্লেখ,অনুল্লেখ্যক
971,কর্মকর্তা,কর্মকর্তা
972,স্কেল,স্কেল
973,হটা,হটানো
974,ট্যুইটার,ট্যুইটার
975,চেইন,চেইন
976,দমন,দমন
977,স্বামী,স্বামী
978,রিকল,রিকল
979,কন্ডুয়ন,কন্ডুয়ন
980,বাবা,বাবা
981,স্বেদগ্রন্থি,স্বেদগ্রন্
982,কালীপুজো,কালীপুজো
983,বিন্দু,বিন্দু
984,হস্তাক্ষর,হস্তাক্ষর
985,আভা,আভা
986,এলএনজি,এলএনজির
987,সংশোধন,সংশোধন
988,গণিত,গণিত
989,কলি,কলি
990,সদরদপ্তর,সদরদপ্তর
991,ইউনিফর্ম,ইউনিফর্মড
992,চঞ্চলতা,চঞ্চলতা
993,সঙ্গী,সঙ্গী
994,ঝরনা,ঝরনা
995,কৃষ্ণ,কৃষ্ণদাস
996,ইকোল,ইকোল
997,সমুদ্রতল,সমুদ্রতল
998,গুন্ডা,গুন্ডা
999,চাকা,চাকা
1000,দুর্বিনীত,দুর্বিনীত
1001,চর্চা,চর্চা
1002,সংকোচ,সংকোচ
1003,কারণ,কারণ
1004,আহার,আহারসামগ্রীন
1005,পদক,পদক
1006,অরুণ,অরুণা
1007,শ্বাসকষ্ট,শ্বাস
1008,পত্র,পত্র
1009,স্বপ্ন,স্বপ্ন
1010,কতক্ষণ,কতক্ষণ
1011,চলচ্চিত্র,চলচ্চিত্র
1012,অর্থ,অর্থবোধ
1013,কুমির,কুমির
1014,ভোট,ভোট
1015,কারাগার,কারাগার
1016,তত্ত্ব,তত্ত্ব
1017,ফেদরভ,ফেদরভ
1018,আত্মসন্তুষ্ট,আত্মসন্তুষ্টি
1019,খোপ,খোপ
1020,ম্যাচ,খেলা
1021,আজিজ,আজিজ
1022,ফিনএয়ার,ফিনএয়ার
1023,আচরণ,আচরণ
1024,আত্মসংযম,আত্মসংযম
1025,বর্জন,বর্জন
1026,চলাচল,চলাচল
1027,জাপান,জাপানি
1028,মোয়াজ্জেম,মোয়াজ্জেম
1029,ঈগল,ঈগল
1030,আন্ডার,আন্ডার
1031,শিল্প,শিল্পকলা
1032,ওয়ার্ড,ওয়ার্ড
1033,ঢেউ,ঢেউ
1034,ভাস্কর্য,ভাস্কর্য
1035,শোয়া,শোবা
1036,বর্ধন,বর্ধনশীল
1037,প্রয়োগ,প্রয়োগ
1038,যাচাই,যাচাই
1039,পূর্ণ,পূর্ণ
1040,ইরাক,ইরাক
1041,আবদার,আবদার
1042,বাহির,বাহিরে
1043,আতিথেয়,আতিথেয়তা
1044,বিকৃত,বিকৃত
1045,পড়া,পড়া
1046,তাঁতি,তাঁতি
1047,দূরবীক্ষণ,দূরবীক্ষণ
1048,উদ্বেগ,উদ্বেগ
1049,সম্পদ,সম্পদ
1050,জনপূর্ণ,জনপূর্ণ
1051,একতরফা,একতরফা
1052,দেওয়া,দেওয়া
1053,ঝাঁপ,ঝাঁপানো
1054,তোষামোদ,তোষামোদ
1055,চাল,চাল
1056,এবছর,এবছর
1057,লক্ষ্য,লক্ষ্যবস্তু
1058,ফারহানা,ফারহানা
1059,ত্বক,ত্বক
1060,বাস্তব,বাস্তব
1061,সানফিস্ট,সানফিস্ট
1062,জন্তু,জন্তু
1063,অপবাদ,অপবাদ
1064,দেখা,দেখা
1065,গঙ্গাদীন,গঙ্গাদীন
1066,আত্মমর্যাদা,আত্মমর্যাদা
1067,পরা,পরা
1068,পূর্ব,পূর্ব
1069,অপ্রত্যাশিত,অপ্রত্যাশিত
1070,দূষণ,দূষণ
1071,শিকড়,শিকড়
1072,ছিয়াশি,ছিয়াশি
1073,শতভাগ,শতভাগ
1074,ভাঙ্গা,ভাঙ্গা
1075,প্রকোপ,প্রকোপ
1076,জেল,জেলে
1077,ফ্লোরিডা,ফ্লোরিডা
1078,ধ্বংস,ধ্বংস
1079,চারঘন্টা,চারঘন্টার
1080,নামঅন্তর,নামান্তর
1081,পড়ুয়া,পড়ুয়া
1082,অনুল্লেখ,অনুল্লেখ
1083,লাল,লাল
1084,শালি,শালি
1085,উৎপাদক,উৎপাদক
1086,মনু,মনু
1087,ঘাট,ঘাট
1088,কমে,কম
1089,অর্চনা,অর্চনা
1090,বিসমার্ক,বিসমার্ক
1091,দৃষ্টি,দৃষ্টি
1092,লুটা,লুটা
1093,আনন্দ,চরমানন্দ
1094,হৃদয়মন্দির,হৃদয়মন্দির
1095,পুর্ব,পুর্ব
1096,সিরআরএফ,সিইআরএফ
1097,অকৃতকার্য,অকৃতকার্য
1098,কালিন্দীতীর,কালিন্দী
1099,প্রতিমূর্তি,প্রতিমূর্তি
1100,ভাগনা,ভাগনা
1101,ফুপু,ফুপু
1102,অপব্যবহার,অপব্যবহার
1103,চাওয়া,চাওয়া
1104,অপ্রাপ্তবয়স্ক,অপ্রাপ্তবয়স্ক
1105,লাগা,লাগা
1106,নাবিক,নাবিক
1107,শোয়া,শোয়া
1108,সার্থক,সার্থক
1109,দুইজন,দুইজন
1110,ইওয়া,ইওয়া
1111,এজন্য,এজন্য
1112,অক্ষয়,অক্ষয়
1113,অঙ্গ,অঙ্গ
1114,অর্ণব,অর্ণব
1115,অনুচ্ছেদ,অনুচ্ছেদ
1116,পাওয়া,পাওয়া
1117,ডিন,ডিন
1118,রাষ্ট্রসংঘ,রাষ্ট্রসংঘ
1119,দেখা,দেখা
1120,অনিশ্চয়তা,অনিশ্চয়তা
1121,ইন্টারন্যাশনাল,ইন্টারন্যাশনাল
1122,রানাওয়ে,রানওয়ে
1123,বিচারপতি,বিচারপতি
1124,ভডভিল,ভডভিল
1125,গল্পসংকলন,গল্পসংকলন
1126,সন্দেহ,সন্দেহ
1127,ক্যাপিটল,ক্যাপিটল
1128,নেটওয়ার্ক,নেটওয়ার্ক
1129,বাধা,বাধা
1130,প্রতিযোগী,প্রতিযোগী
1131,প্যাকেজ,প্যাকেজ
1132,অভিনয়,অভিনয়
1133,চৈত্র,চৈত্র
1134,অন্তর,অন্তর
1135,ধরা,ধরিয়া
1136,ষষ্ঠ,ষষ্ঠ
1137,ওত্তোমান,ওত্তোমান
1138,তলা,তলা
1139,অপুনরুদ্ধার,অপুনরুদ্ধার
1140,আকর্ষন,আকর্ষণী
1141,আখের,আখের
1142,লাপ্লাস,লাপ্লাস
1143,পড়ানো,পড়া
1144,উজ্জল,উজ্জলপুর
1145,অঙ্ক,অঙ্কটি
1146,প্রচারণা,প্রচারণা
1147,বিশ্বভ্রমণ,বিশ্বভ্রমণ
1148,সামিট,সামিট
1149,দেবী,দেবী
1150,খড়,খড়
1151,মহা,মহা
1152,ইতি,ইতি
1153,ফান্ড,ফান্ড
1154,অপরাধী,অপরাধী
1155,জোহান,জোহান
1156,কোঠা,কোঠা
1157,দৌড়,দৌড়
1158,ইতিমধ্যে,ইতিমধ্যে
1159,শক্তি,শক্তিহীন
1160,উৎপীড়ন,উৎপীড়ন
1161,অচির,অচির
1162,সব,সব
1163,পয়েণ্ট,পয়েণ্টন
1164,প্রতিমা,প্রতিমা
1165,নাস্তা,নাস্তা
1166,ধরা,ধরা
1167,খনিজ,খনিজ
1168,বরফাবৃত,বরফাবৃত
1169,টাউনশিপ,টাউনশিপ
1170,কাবাব,কাবাব
1171,কি,কি
1172,চানাচুর,চানাচুর
1173,ছয়,ছয়
1174,লেখা,লেখা
1175,একসঙ্গ,একসঙ্গ
1176,যিহুদি,যিহুদি
1177,শিম্শোন,শিম্শো
1178,ব্যাহত,ব্যাহত
1179,হওয়া,হওয়া
1180,ভৌত,ভৌত
1181,আইনজীবি,আইনজীবি
1182,সিদ্দিকী,সিদ্দিকী
1183,পাওয়া,পাওয়া
1184,সাংবাদিক,সাংবাদিক
1185,চেতনা,চেতনা
1186,শেং,শেং
1187,প্রজ্ঞা,প্রজ্ঞা
1188,উত্থাপন,উত্থাপন
1189,শাখানদী,শাখানদী
1190,কবরস্থান,কবরস্থান
1191,প্রমাণ,প্রমাণ
1192,হাঁস,হাঁসা
1193,অভূত,অভূত
1194,মাঝখান,মাঝ
1195,পাঠানো,পাঠানো
1196,তরোয়াল,তরোয়াল
1197,নাহিন,নাহিন
1198,তেজপাতা,তেজপাতা
1199,হৃতগৌরব,হৃতগৌরব
1200,ক্যামপ্রুবি,ক্যামপ্রুবি
1201,আহমেদাবাদে,আহমেদাবাদ
1202,করা,করা
1203,স্নায়ু,স্নায়ু
1204,রাস্তা,রাস্তাবন্ধ
1205,নিমগ্ন,নিমগ্ন
1206,নারীমঞ্চ,নারীমঞ্চ
1207,লেখা,লেখা
1208,উদ্ভিদ,উদ্ভিদ
1209,নড়ি,নড়ি
1210,প্রধান,প্রধান
1211,আর,আরো
1212,সমুদ্র,সমুদ্রতী
1213,এডমন্ড,এডমন্ড
1214,ঘটনাস্থল,ঘটনাস্থল
1215,তথ্য,তথ্য
1216,তাড়াহুড়া,তাড়াহুড়া
1217,সয়ীদ,সয়ীদন
1218,অধ্যাদেশ,অধ্যাদেশ
1219,অর্থবছর,অর্থবছর
1220,অন্যায়,অন্যায়
1221,প্রবাহিত,প্রবাহ
1222,বাধা,বাধা
1223,জাম,জাম
1224,অঞ্চর,অঞ্চর
1225,জেনেট,জেনেট
1226,ইরাক,ইরাক
1227,আবাহনী,আবাহনী
1228,যন্ত্রপাতি,যন্ত্রপাতি
1229,কাটোয়া,কাটা
1230,অপ্সরা,অপ্সরা
1231,অতীত,অতীত
1232,কয়লা,কয়লা
1233,ফরমোসা,ফরমোসাইট
1234,চুক্তি,চুক্তি
1235,বাধা,বাধা
1236,অজানা,অজানা
1237,পর্বত,পার্বত
1238,বেদম,বেদম
1239,ধর্মান্তরিত,ধর্মান্তরিত
1240,এদন,এদন
1241,সরাসরি,সরাসরি
1242,দক্ষতা,দক্ষতাপূর্ণ
1243,কলুষতা,কলুষ
1244,পিছন,পিছন
1245,ক্ষতিকর,ক্ষতিকর
1246,কেএমডিএ,কেএমডিএ
1247,এজরা,এজরা
1248,আকর্ষণ,আকর্ষণ
1249,পুত্রঅর্থ,পুত্রার্থ
1250,হানদিয়া,হানদিয়া
1251,দক্ষিণপূর্ব,দক্ষিণপূর্ব
1252,অতিথি,অতিথি
1253,কেল্লা,কেল্লা
1254,তৃপ্ত,তৃপ্ত
1255,ইচ্ছাশক্তি,ইচ্ছাশক্তি
1256,সমুদ্র,সমুদ্র
1257,কার,কারোর
1258,বিএসসি,বিএসসি
1259,ছুড়ি,ছুড়ি
1260,ধারণ,ধারণ
1261,বালক,বালক
1262,আর্য,আর্য
1263,লোরেটো,লোরেটো
1264,লিঙ্ক,লিঙ্ক
1265,ষড়যন্ত্র,ষড়যন্ত্র
1266,রাজা,রাজা
1267,অ্যাম্বাস্যাডার,অ্যাম্বাস্যাডার
1268,আচারজীর্ণ,আচার
1269,নিহিলো,নিহিলো
1270,বলিভা,বলিভার
1271,সাবেক,সাবেক
1272,লক্ষ্য,লক্ষ্য
1273,করা,করা
1274,উপক্রম,উপক্রম
1275,বাঁচা,বাঁচা
1276,কাশ্মীর,কাশ্মীর
1277,কাশ্মীর,কাশ্মীর
1278,পাটাতন,পাটাতন
1279,খতিয়ান,খতিয়ান
1280,হস্তগত,হস্তগত
1281,নয়,না
1282,ফল,ফল
1283,সেদেশ,সেদেশ
1284,বার্ধক্য,বার্ধক্য
1285,উপাধি,উপাধি
1286,মানোদারা,মানোদা
1287,অপরাধ,অপরাধ
1288,মন্দ,মন্দ
1289,সাক্ষাত,সাক্ষাত
1290,বায়োলজি,বায়োলজি
1291,প্রাচুর্য,প্রাচুর্য
1292,কিরগিজস্তান,কিরগিজস্তান
1293,ভাষা,ভাষা
1294,চাপানো,চাপানো
1295,সুগম্য,সুগম্য
1296,শত্রুরক্তঅঙ্কন,শত্রু
1297,স্নেহ,স্নেহ
1298,ওয়ার্কিং,ওয়ার্কিং
1299,সাধারণ,অসাধারণ
1300,মসৃণ,মসৃণ
1301,কোরিওলেনাস,কোরিওলেনাস
1302,উঠান,উঠান
1303,রাজকুমার,রাজকুমার
1304,সিংহল,সিংহলসিংহ
1305,ট্রিবিউটিভ্,ট্রিবিউটিভ্
1306,দাড়ানো,দাড়ানো
1307,কুরআন,কুরআন
1308,আদেশ,আদেশ
1309,করা,করা
1310,পরম,পরা
1311,বাক্য,বাক্য
1312,অন্ধত্ব,অন্ধত্ব
1313,কালটিভেশন,কালটিভেশন
1314,বিদ্যুৎ,বিদ্যুৎকেন্দ্র
1315,লংঘন,লংঘন
1316,কয়লা,কয়লা
1317,বসা,বসা
1318,সিএডি,সিএডি
1319,প্রদান,প্রদান
1320,ছুয়া,ছুয়া
1321,নাচ,নাচ
1322,অবমাননা,অবমাননা
1323,শেখা,শেখা
1324,ভুট্টা,ভুট্টানো
1325,তুর্কী,তুর্কী
1326,প্রয়োজন,প্রয়োজন
1327,চর,চর
1328,পৃষ্ঠপোষক,পৃষ্ঠপোষকতা
1329,আবহসংগীত,আবহসংগীত
1330,আইডিয়াল,আইডিয়াল
1331,চিতাবাঘ,চিতাবাঘ
1332,গাওয়া,গাওয়া
1333,একবিন্দু,একবিন্দু
1334,উত্থাপন,উত্থাপন
1335,গণেশের,গতি
1336,করা,করা
1337,আকর্ষণ,আকর্ষণী
1338,শহীদ,শহীদ
1339,অনুষঙ্গ,অনুষঙ্গ
1340,ওলন্দাজ,ওলন্দাজভাষী
1341,বৃদ্ধি,বৃদ্ধি
1342,যুক্তি,যৌক্তিক
1343,মেরামত,মেরামত
1344,গৌহ,গৌহর
1345,মোটর,মোটর
1346,এনএসডব্লিউসি,এনএসডব্লি
1347,তাবু,তাবু
1348,পীড়ন,পীড়ন
1349,অনুশোচনা,অনুশোচনা
1350,লেজিয়ন,লেজিয়ন
1351,উত্তরাধিকার,উত্তরাধিকার
1352,সিলিন্ডার,সিলিন্ডার
1353,অপর্যাপ্ত,অপর্যাপ্ত
1354,বাস,বাস
1355,হাসপাতাল,হাসপাতালে
1356,সভ্যতা,সভ্যতা
1357,সফরকাল,সফর
1358,একই,একই
1359,বিনতি,বিনতি
1360,দোস্ত,দোস্ত
1361,অনভ্যাস,অনভ্যাস
1362,স্থাপনা,স্থাপনা
1363,সিগারেট,সিগারেট
1364,শনিবার,শনিবার
1365,ঘন,ঘন
1366,আরাধ্য,আরাধ্য
1367,এটা,এটি
1368,বাদাম,বাদাম
1369,অক্ষর,অক্ষর
1370,মেডুলা,মেডুলা
1371,ডিক্রিপশন,ডিক্রিপশন
1372,ছাড়া,ছরাব
1373,দায়ে,দায়
1374,অনুপ্রেরণা,অনুপ্রেরণা
1375,পিছন,পিছন
1376,কুকুর,কুকুর
1377,জলপাই,জলপাই
1378,কঙ্কাল,কঙ্কাল
1379,ভগিনী,ভগিনী
1380,অপরিপক্ক,অপরিপক্ক্ব
1381,এরূপ,এরূপ
1382,মগ,মগ
1383,সমগ্র,সামগ্রী
1384,চেতনা,চেতনা
1385,প্রতিষ্ঠা,প্রতিষ্ঠা
1386,স্থুল,স্থুলতা
1387,একচেঞ্জ,একচেঞ্জ
1388,ফিরোজা,ফিরোজা
1389,লড়াই,লড়াই
1390,দুনিয়া,দুনিয়া
1391,সালিম,সালিম
1392,বাঁশ,বাঁশ
1393,বসবাস,বসাবাস
1394,প্রতিপাদন,প্রতিপাদন
1395,অকার্য,অকার্য
1396,গল,গল
1397,চিতল,চিতল
1398,বাদাম,বাদাম
1399,কচুরিপানা,কচুরিপানা
1400,চিকিৎসা,চিকিৎসা
1401,হল,হওয়া
1402,স্তনযুগল,স্তনযুগল্
1403,জাঁদরেল,জাঁদরেল
1404,উন্নয়ন,উন্নয়ন
1405,সিলিনু,সিলিনু
1406,সাহিত্যশৈলী,সাহিত্যশৈলী
1407,নাৎসী,নাৎস
1408,পশু,পশু
1409,উন্নতি,উন্নতি
1410,আদায়,আদায়
1411,লোহা,লোহা
1412,দেওয়াল,দেওয়ালঘেরা
1413,আবদার,আবদার
1414,কুটির,কুটিরবাসী
1415,অবজ্ঞা,অবজ্ঞা
1416,রাবণ,রাবণ
1417,উপাচার্য,উপাচার্য
1418,দাড়,দাড়
1419,ডন,ডন
1420,তত্ত্ব,তত্ত্ব
1421,ভারত,ভারত
1422,শক্তি,শক্তি
1423,আপনি,আপনা
1424,অরাজকতা,অরাজকতা
1425,অ্যামাজন,অ্যামাজন
1426,হাঁকা,হেঁকা
1427,মই,মই
1428,বোধ,বোধগম্য
1429,বহন,বহন
1430,দাঁত,দাঁত
1431,ঝুমকা,ঝুমকা
1432,এসপি,এসপি
1433,আচরণ,আচরণ
1434,প্রতিক্রিয়া,প্রতিক্রিয়ার
1435,কাশেম,কাশেম
1436,আত্মত্যাগ,আত্মত্যাগ
1437,হিটলার,হিটলার
1438,উঠা,ওঠা
1439,ব্যামো,ব্যামো
1440,নামানো,নামা
1441,ওয়ার্ড,ওয়ার্ড
1442,ভূসম্পত্তি,ভূসম্পত্তি
1443,উদ্যান,উদ্যানগর
1444,যৌবন,যৌবন
1445,বীরাক্কোডি,বীরাক্কোডিয়া
1446,অধিকার,অধিকার
1447,উচ্চাকাঙ্ক্ষা,উচ্চাকাঙ্ক্ষা
1448,তারকাঁটা,তারকাঁটা
1449,নির্দিষ্ট,নির্দিষ্ট
1450,অভিযোগকারী,অভিযোগকারী
1451,অহংকার,অহংকার
1452,নিখুঁত,নিখুঁত
1453,কতক,কতক
1454,আপ্ত,আপ্ত
1455,নিবেদন,নিবেদন
1456,কারখানা,কারখানা
1457,মুক্তা,মুক্তা
1458,অভিনীত,অভিনীত
1459,নাচ,নাচ
1460,পর,পরে
1461,উদ্ভাবক,উদ্ভাবক
1462,কারা,কারারুদ্ধ
1463,ব্লক,ব্লক
1464,অ্যান্ড্রুজ,অ্যান্ড্রুজ
1465,ধারাবাহিক,ধারাবাহিকতা
1466,অন্যান্য,অন্যান্যবার
1467,গ্যাব্রিয়েলা,গ্যাব্রিয়েলা
1468,পৌঁছা,পৌঁছা
1469,অনুপাত,অনুপাত
1470,আনুকূল্য,আনুকূল্যপ্রাপ্ত
1471,শলোমন,শলোমন
1472,প্রস্তুত,প্রস্তুত
1473,শুভলগ্ন,শুভলগ্ন
1474,খননকার্য,খননকার্য
1475,দিন,দিন
1476,মাধ্যম,মাধ্যম
1477,সেখান,সেখানে
1478,সলোমন,সলোমন
1479,সৌধ,সৌধ
1480,বিনোদা,বিনোদার
1481,ঈশ্বর,ঈশ্বরভয়
1482,কাঞ্চন,কাঞ্চন
1483,প্রকাশনা,প্রকাশনা
1484,আক্রমণ,আক্রমণ
1485,বর্ননা,বর্ননা
1486,গম্বুজ,গম্বুজ
1487,উপকূল,উপকূলীয়
1488,আজারবাইজান,আজারবাইজান
1489,নড়ি,নড়ি
1490,রক্তচাপ,রক্তচাপ
1491,রাল্,রাল্
1492,বিচার,বিচার
1493,মন্ত্রী,মন্ত্রী
1494,ক্রীতদাস,ক্রীতদাস
1495,উত্তাপ,উত্তাপ
1496,ইজারাদার,ইজারাদার
1497,তারপর,তারপর
1498,কয়েকজন,কয়েকজন
1499,গুণগান,গুণ
1500,চুরি,চুরি
1501,গৃহ,গৃহ
1502,মেশিনগান,মেশিনগান
1503,অন্য,অন্য
1504,স্ফূরণ,স্ফূরণ
1505,অভিষিক্ত,অভিষিক্ত
1506,পেননা,পেননা
1507,তিল,তিল
1508,লাইফ,লাইফ
1509,বিজ্ঞাপন,বিজ্ঞপ্তি
1510,সক্ষম,সক্ষম
1511,মুন্না,মুন্না
1512,তোলা,তোলা
1513,রাজশাহী,রাজশাহী
1514,সহস্ররক্তকরস্পর্শ,সহস্ররক্ত
1515,নিষ্ক্রিয়,নিষ্ক্রিয়
1516,যদি,যদি
1517,নিলাম,নিলাম
1518,অবাধ,অবাধ
1519,পরা,পরা
1520,বিমোচন,বিমোচন
1521,ইস্তকাম্য,ইস্তক
1522,ল্যাপ্ল্যাণ্ড,ল্যাপ্ল্যাণ্ড
1523,অযৌক্তিক,অযৌক্তিক
1524,ধর্ষক,ধর্ষক
1525,সে,যাহা
1526,যত্ন,যত্ন
1527,পঁচিশ,পঁচিশ
1528,গমনাগমন,গমনা
1529,তরু,তরু
1530,গ্রাহক,গ্রাহক
1531,লেখা,লেখা
1532,হাই,হাই
1533,আশ্চর্য,আশ্চর্য
1534,মডারেটর,মডারেটর
1535,বাস,বাস
1536,এড়ানো,এড়ানো
1537,যাওয়া,গেছলা
1538,অকাল,অকাল
1539,খোউরি,খোউরি
1540,যীশু,যীশু
1541,জ্বারা,জ্বারাতোলা
1542,অধিরাজ্য,অধিরাজ্য
1543,ম্যারিয়ট,ম্যারিয়ট
1544,কাঁদা,কাঁদা
1545,বিমান,বিমান
1546,হিন্দুস্থান,হিন্দুস্থান
1547,মেহার,মেহার
1548,বাণিজ্য,বাণিজ্য
1549,হকার,হকার
1550,আইনজীবি,আইন
1551,গরম,গরম
1552,বিদায়,বিদায়
1553,কিউবা,কিউবা
1554,মানবজাতি,মানব
1555,বঙ্গোপসাগর,বঙ্গোপসাগর
1556,বিশালঅন্ধ্র,বিশালান্ধ্র
1557,বঙ্গদেশ,বঙ্গদেশ
1558,অনিশ্চিত,অনিশ্চিতি
1559,লিস্ট,লিস্ট
1560,নাবা,নাবাতিয়ে
1561,ঢিল,ঢিল
1562,চরকা,চরকা
1563,খোঁটা,খোঁটা
1564,চাঁদ,চাঁদ
1565,কম্বল,কম্বল
1566,পড়া,পড়া
1567,নিরস্ত্র,নিরস্ত্রীকরণ
1568,এশিয়া,এশিয়া
1569,শাসন,শাসন
1570,পিছন,পিছন
1571,টেলিভিশন,টেলিভিশন
1572,মুখ,মুখ
1573,পর্যবেক্ষণ,পর্যবেক্ষণ
1574,গাড়ি,গাড়ি
1575,গল্প,গল্প
1576,মিষ্টিমুখ,মিষ্টিমুখে
1577,টুকরা,টুকরা
1578,ডুবোজাহাজ,ডুবোজাহাজ
1579,কর্মকাণ্ড,কর্মকাণ্ড
1580,কল্যাণ,কল্যাণ
1581,চাওয়া,চাওয়া
1582,উপস্থাপন,উপস্থাপন
1583,অভিন্ন,অভিন্ন
1584,শোয়া,শোয়া
1585,অনর্থ,অনর্থ
1586,বাবা,বাবামা
1587,কুকুর,কুকুর
1588,অমত,অম
1589,একান্তরূপ,একান্ত
1590,আর,আর
