sentence_main,sentence_lemma
কর্তাকেই পলতার,কর্তা পলতা
পলতার অপ্রত্যক্ষভাবেই,পলতা অপ্রত্যক্ষ
অপ্রত্যক্ষভাবেই তুলেছেন,অপ্রত্যক্ষ তোলা
তুলেছেন কাকি,তোলা কাকি
কাকি বুঝাইও,কাকি বুঝা
বুঝাইও অস্থি,বুঝা অস্থি
অস্থি ছাত্রলীগের,অস্থি ছাত্র
ছাত্রলীগের ভূমিই,ছাত্র ভূমি
ভূমিই একসময়,ভূমি একসময়
একসময় বাছুরদের,একসময় বাছুর
বাছুরদের চিরে,বাছুর চির
চিরে মহদাশয়তার,চির মহদাশয়তা
মহদাশয়তার পীড়ন,মহদাশয়তা পীড়ন
পীড়ন কম্বলই,পীড়ন কম্বল
কম্বলই উত্তরাধিকার,কম্বল উত্তরাধিকার
উত্তরাধিকার করুণস্বরে,উত্তরাধিকার করুণস্বর
করুণস্বরে উদাহরণ,করুণস্বর উদাহরণ
উদাহরণ ছেমড়ার,উদাহরণ ছেমড়া
ছেমড়ার পাততাড়ি,ছেমড়া পাততাড়ি
পাততাড়ি পাশার,পাততাড়ি পাশা
পাশার যুদ্ধক্ষেত্রের,পাশা যুদ্ধক্ষেত্র
যুদ্ধক্ষেত্রের উদ্দীপক,যুদ্ধক্ষেত্র উদ্দীপক
উদ্দীপক পাত্রীদেরই,উদ্দীপক পাত্র্রী
পাত্রীদেরই জালিই,পাত্র্রী জালি
জালিই মনোযোগ,জালি মনোযোগ
মনোযোগ তারিখই,মনোযোগ তারিখ
তারিখই প্রভাবে,তারিখ প্রভাব
প্রভাবে আক্রান্তকে,প্রভাব আক্রান্ত
আক্রান্তকে কলমটিতে,আক্রান্ত কলম
কলমটিতে শতাংশই,কলম শতঅংশ
শতাংশই চিরুনিটা,শতঅংশ চিরুনি
চিরুনিটা কাটছিলি,চিরুনি কাটা
কাটছিলি আর্তনাদকারী,কাটা আর্তনাদ
আর্তনাদকারী অনুসন্ধানগুলো,আর্তনাদ অনুসন্ধান
অনুসন্ধানগুলো কার্যালয়,অনুসন্ধান কার্যালয়
কার্যালয় দলগুলির,কার্যালয় দল
দলগুলির অংশগ্রহণকারীসহ,দল অংশ
অংশগ্রহণকারীসহ ক্ষমাতে,অংশ ক্ষমা
ক্ষমাতে হরিণের,ক্ষমা হরিণ
হরিণের পতঙ্গের,হরিণ পতঙ্গ
পতঙ্গের মৌনপ্রায়,পতঙ্গ মৌনপ্রায়
মৌনপ্রায় উদ্ভাবনীয়,মৌনপ্রায় উদ্ভাবনী
উদ্ভাবনীয় ছোলাকে,উদ্ভাবনী ছোলা
ছোলাকে বিদায়কাল,ছোলা বিদায়
বিদায়কাল অবিলম্বেই,বিদায় অবিলম্বে
অবিলম্বেই হাপরানো,অবিলম্বে হাপরানো
হাপরানো কলাকৌশলগত,হাপরানো কলাকৌশল
কলাকৌশলগত ক্ষয়ক্ষতিতে,কলাকৌশল ক্ষয়ক্ষতি
ক্ষয়ক্ষতিতে লক্ষ্যে,ক্ষয়ক্ষতি লক্ষ্য
লক্ষ্যে গ্রহণযোগ্যই,লক্ষ্য গ্রহণযোগ্য
গ্রহণযোগ্যই বকাবকির,গ্রহণযোগ্য বকুনি
বকাবকির উত্তেজনাকর,বকুনি উত্তেজনা
উত্তেজনাকর দেখাই,উত্তেজনা দেখা
দেখাই ছাওয়াই,দেখা ছাওয়া
ছাওয়াই কাটিয়েছিলেম,ছাওয়া কাটা
কাটিয়েছিলেম তাতেই,কাটা তা
তাতেই অজ্ঞানে,তা অজ্ঞান
অজ্ঞানে যাচানো,অজ্ঞান যাচা
যাচানো বসিতেছি,যাচা বসা
বসিতেছি পরিশ্রমকে,বসা পরিশ্রম
পরিশ্রমকে ওকালতি,পরিশ্রম ওকালতি
ওকালতি সর্বাপেক্ষা,ওকালতি সর্বউপেক্ষা
সর্বাপেক্ষা কাছিমকে,সর্বউপেক্ষা কাছিম
কাছিমকে আদেশানুরূপ,কাছিম আদেশ
আদেশানুরূপ উচ্ছেদকে,আদেশ উচ্ছেদ
উচ্ছেদকে গড়ালি,উচ্ছেদ গড়ালি
গড়ালি হাপরাচ্ছে,গড়ালি হাপরানো
হাপরাচ্ছে আসেননি,হাপরানো আসা
আসেননি নামল,আসা নামা
নামল জপনিরতা,নামা জপনিরত
জপনিরতা নদ,জপনিরত নদ
নদ মেরামতের,নদ মেরামত
মেরামতের উপরেরই,মেরামত উপরে
উপরেরই জন্যে,উপরে জন্য
জন্যে হটাবো,জন্য হটা
হটাবো দেখাল,হটা দেখা
দেখাল কাচাচ্ছ,দেখা কাচা
কাচাচ্ছ গ্রহণের,কাচা গ্রহণ
গ্রহণের জড়িয়েছে,গ্রহণ জরিত
জড়িয়েছে রান্নাই,জরিত রান্না
রান্নাই অপরিবর্তনীয়,রান্না অপরিবর্তন
অপরিবর্তনীয় পিতলে,অপরিবর্তন পিতল
পিতলে পিছাইয়া,পিতল পিছন
পিছাইয়া উত্পাদনকাজ,পিছন উত্পাদন
উত্পাদনকাজ আরম্ভটা,উত্পাদন আরম্ভ
আরম্ভটা আজ্ঞানুবর্তী,আরম্ভ আজ্ঞা
আজ্ঞানুবর্তী কথোপকথনও,আজ্ঞা কথোপকথন
কথোপকথনও চালকটি,কথোপকথন চালক
চালকটি শর,চালক শর
শর নিয়াসিন,শর নিয়াসিন
নিয়াসিন ভয়ষা,নিয়াসিন ভয়
ভয়ষা শেখানো,ভয় শেখা
শেখানো গাজরে,শেখা গাজর
গাজরে উজ্জল,গাজর উজ্জল
উজ্জল দ্বাররোধ,উজ্জল দ্বাররোধ
দ্বাররোধ হায়দরাবাদ,দ্বাররোধ হায়দরাবাদ
হায়দরাবাদ অব্যয়জাত,হায়দরাবাদ অব্যয়
অব্যয়জাত খেলনাতে,অব্যয় খেলনা
খেলনাতে দেশেই,খেলনা দেশ
দেশেই অধ্যুষিত,দেশ অধ্যুষিত
অধ্যুষিত সঙ্গতি,অধ্যুষিত সঙ্গ
সঙ্গতি গলদা,সঙ্গ গলদ
গলদা অক্ষক্রীড়া,গলদ অক্ষ
অক্ষক্রীড়া আত্মপ্রত্যয়ও,অক্ষ আত্মপ্রত্যয়
আত্মপ্রত্যয়ও অখণ্ডিত,আত্মপ্রত্যয় অখণ্ড
অখণ্ডিত ধনাগার,অখণ্ড ধনাগার
ধনাগার ছাত্রী,ধনাগার ছাত্র
ছাত্রী বাগানটি,ছাত্র বাগান
বাগানটি শোধ,বাগান শোধ
শোধ দাঁড়াইব,শোধ দাঁড়া
দাঁড়াইব অগ্নিসংযোগও,দাঁড়া অগ্নিসংযোগ
অগ্নিসংযোগও জিনিস,অগ্নিসংযোগ জিনিস
জিনিস কাঁদাব,জিনিস কাঁদা
কাঁদাব হবার,কাঁদা হওয়া
হবার শুনিবেন,হওয়া শোনা
শুনিবেন দয়াশীল,শোনা দয়াশীল
দয়াশীল আয়তক্ষেত্রটির,দয়াশীল আয়ত
আয়তক্ষেত্রটির ছুড়তে,আয়ত ছোড়া
ছুড়তে বাদ,ছোড়া বাদ
বাদ মনটাকে,বাদ মন
মনটাকে এখতিয়ারই,মন এখতিয়ার
এখতিয়ারই অবচেতন,এখতিয়ার অবচেতন
অবচেতন কাটাকুটি,অবচেতন কাটা
কাটাকুটি আমাশয়ের,কাটা আমাশয়
আমাশয়ের কাটাইয়াছিলি,আমাশয় কাটা
কাটাইয়াছিলি প্রতিযোগীর,কাটা প্রতিযোগী
প্রতিযোগীর জালটায়,প্রতিযোগী জাল
জালটায় ইতস্তবোধ,জাল ইতস্তত
ইতস্তবোধ জিদে,ইতস্তত জিদ
জিদে ত্রুটি,জিদ ত্রুটি
ত্রুটি অভদ্রতার,ত্রুটি অভদ্র
অভদ্রতার আওয়াল,অভদ্র আওয়াল
আওয়াল উত্পাদন,আওয়াল উত্পাদন
উত্পাদন থেকে,উত্পাদন থাকা
থেকে অকার্যকারিতার,থাকা অকার্য
অকার্যকারিতার লাবই,অকার্য লাভ
লাবই দোলনার,লাভ দোলনা
দোলনার উৎসবে,দোলনা উৎসব
উৎসবে অমত,উৎসব অমত
অমত উপাসনা,অমত উপাসন
উপাসনা অনুদানটুকু,উপাসন অনুদান
অনুদানটুকু কলেজর,অনুদান কলেজ
কলেজর পড়িলাম,কলেজ পড়া
পড়িলাম অক্ষাংশেই,পড়া অক্ষাংশ
অক্ষাংশেই ক্ষতই,অক্ষাংশ ক্ষত
ক্ষতই কলঙ্কিনী,ক্ষত কলঙ্কিনী
কলঙ্কিনী উপকেন্দ্রেও,কলঙ্কিনী উপকেন্দ্র
উপকেন্দ্রেও জোয়ারে,উপকেন্দ্র জোয়ার
জোয়ারে মস্তিষ্কে,জোয়ার মস্তিষ্ক
মস্তিষ্কে খামই,মস্তিষ্ক খাম
খামই গর্জনে,খাম গর্জন
গর্জনে ডাব,গর্জন ডাব
ডাব উজ্জলকোঠা,ডাব উজ্জল
উজ্জলকোঠা খুবতো,উজ্জল খুব
খুবতো জন্মিতে,খুব জন্ম
জন্মিতে বিকালই,জন্ম বিকাল
বিকালই ঘটাচ্ছি,বিকাল ঘটা
ঘটাচ্ছি বিদায়ী,ঘটা বিদায়
বিদায়ী ঝাড়খণ্ড,বিদায় ঝাড়খণ্ড
ঝাড়খণ্ড বসায়,ঝাড়খণ্ড বসা
বসায় উদাহরণই,বসা উদাহরণ
উদাহরণই উপস্থাপকরা,উদাহরণ উপস্থাপক
উপস্থাপকরা আলাপচারিতার,উপস্থাপক আলাপচারিতা
আলাপচারিতার জুলাই,আলাপচারিতা জুলাই
জুলাই টিকাকরণ,জুলাই টিকাকরণ
টিকাকরণ গ্রন্থাগার,টিকাকরণ গ্রন্থাগার
গ্রন্থাগার পুকুরই,গ্রন্থাগার পুকুর
পুকুরই তারকাঁটার,পুকুর তারকাঁটা
তারকাঁটার ছাগশিশু,তারকাঁটা ছাগলশিশু
ছাগশিশু এগিয়ে,ছাগলশিশু এগোনো
এগিয়ে স্বার্থে,এগোনো স্বার্থ
স্বার্থে আমানতও,স্বার্থ আমানত
আমানতও চ্যালেঞ্জের,আমানত চ্যালেঞ্জ
চ্যালেঞ্জের আনমনাও,চ্যালেঞ্জ আনমন
আনমনাও ঘরোয়া,আনমন ঘর
ঘরোয়া আমেজটা,ঘর আমেজ
আমেজটা অধ্যাপকসহ,আমেজ অধ্যাপক
অধ্যাপকসহ বিপিন,অধ্যাপক বিপিন
বিপিন অপহরণকারী,বিপিন অপহরণ
অপহরণকারী জানাজায়,অপহরণ জানাজা
জানাজায় পাইলট,জানাজা পাইলট
পাইলট কার্যপ্রণালীই,পাইলট কার্যপ্রণালী
কার্যপ্রণালীই পতপত,কার্যপ্রণালী পতপত
পতপত হিংসাত্মক,পতপত হিংসা
হিংসাত্মক আবাসস্থলগুলো,হিংসা আবাসস্থল
আবাসস্থলগুলো তুমারে,আবাসস্থল তুমি
তুমারে পাশী,তুমি পাশ
পাশী মাইকেল,পাশ মাইকেল
মাইকেল আকুতির,মাইকেল আকুতি
আকুতির ক্ষমাই,আকুতি ক্ষমা
ক্ষমাই ইচ্ছাগুলো,ক্ষমা ইচ্ছা
ইচ্ছাগুলো চট,ইচ্ছা চট
চট চিতাবাঘটি,চট চিতাবাঘ
চিতাবাঘটি দেখিয়াছি,চিতাবাঘ দেখা
দেখিয়াছি খাওনোর,দেখা খাওয়া
খাওনোর দালান,খাওয়া দালান
দালান দোষল,দালান দোষ
দোষল হইলেও,দোষ হওয়া
হইলেও আকারে,হওয়া আকার
আকারে আধোঘুমের,আকার আধো
আধোঘুমের আতিথ্য,আধো আতিথ্য
আতিথ্য পাত্রদেরই,আতিথ্য পাত্র
পাত্রদেরই দোষারুপ,পাত্র দোষারোপ
দোষারুপ লিখেন,দোষারোপ লেখা
লিখেন শোয়াচ্ছিলেম,লেখা শোয়া
শোয়াচ্ছিলেম অভিকর্ষ,শোয়া অভিকর্ষ
অভিকর্ষ অনীকরা,অভিকর্ষ অনীক
অনীকরা স্বপ্নের,অনীক স্বপ্ন
স্বপ্নের খড়গ,স্বপ্ন খড়গ
খড়গ একদলা,খড়গ একদল
একদলা নারাজ,একদল নারাজ
নারাজ খাতই,নারাজ খাত
খাতই সম্বন্ধে,খাত সম্বন্ধ
সম্বন্ধে কাউন্সিল,সম্বন্ধ কাউন্সিল
কাউন্সিল অসন্তুষ্ট,কাউন্সিল সন্তুষ্ট
অসন্তুষ্ট কানের,সন্তুষ্ট কান
কানের নদে,কান নদ
নদে খসড়াগুলো,নদ খসড়া
খসড়াগুলো সক্রিয়ই,খসড়া সক্রিয়
সক্রিয়ই দীপক,সক্রিয় দীপক
দীপক ফলও,দীপক ফল
ফলও লেন,ফল লেন
লেন ধর্মান্তরিতই,লেন ধর্মান্তরিত
ধর্মান্তরিতই আকৃতিটা,ধর্মান্তরিত আকৃতি
আকৃতিটা কাটাইবে,আকৃতি কাটা
কাটাইবে দিয়াছিলাম,কাটা দেওয়া
দিয়াছিলাম আক্রোশবশে,দেওয়া আক্রোশ
আক্রোশবশে চিনা,আক্রোশ চিনা
চিনা খিলাফের,চিনা খিলাফ
খিলাফের অভদ্রতা,খিলাফ অভদ্র
অভদ্রতা নম্বর,অভদ্র নম্বর
নম্বর পায়ের,নম্বর পা
পায়ের শিরাটার,পা শিরা
শিরাটার কেটেছেন,শিরা কাটা
কেটেছেন হৃদয়মন্দিরের,কাটা হৃদয়মন্দির
হৃদয়মন্দিরের ঘোষই,হৃদয়মন্দির ঘোষ
ঘোষই মাখিল,ঘোষ মাখা
মাখিল আরাধ্যর,মাখা আরাধ্য
আরাধ্যর খটাশটা,আরাধ্য খাটাশ
খটাশটা আবেদনকারীগণ,খাটাশ আবেদনকারী
আবেদনকারীগণ অপূর্ণাঙ্গতাই,আবেদনকারী অপূর্ণাঙ্গ
অপূর্ণাঙ্গতাই পায়নি,অপূর্ণাঙ্গ পাওয়া
পায়নি অনভিজ্ঞতাকেও,পাওয়া অনভিজ্ঞ
অনভিজ্ঞতাকেও ভোটকে,অনভিজ্ঞ ভোট
ভোটকে ঘড়িয়াল,ভোট ঘড়িয়াল
ঘড়িয়াল আকন্দর,ঘড়িয়াল আকন্দ
আকন্দর কদর,আকন্দ কদর
কদর কলা,কদর কলা
কলা জলাশয়ে,কলা জলাশয়
জলাশয়ে অপক্ষপাত,জলাশয় অপক্ষপাত
অপক্ষপাত জোড়াটি,অপক্ষপাত জোড়া
জোড়াটি ইঞ্জিনিয়ারিং,জোড়া ইঞ্জিনিয়ার
ইঞ্জিনিয়ারিং রাসায়নিকের,ইঞ্জিনিয়ার রাসায়নিক
রাসায়নিকের উত্সাহকে,রাসায়নিক উত্সাহ
উত্সাহকে রীতি,উত্সাহ রীতি
রীতি দাঁড়াত,রীতি দাঁড়া
দাঁড়াত উৎসাহক,দাঁড়া উৎসাহ
উৎসাহক কড়মড়ানি,উৎসাহ কড়মড়
কড়মড়ানি প্রায়রিটি,কড়মড় প্রায়রিটি
প্রায়রিটি চুক্তিও,প্রায়রিটি চুক্তি
চুক্তিও অনাথ,চুক্তি অনাথ
অনাথ রাখিতেন,অনাথ রাখা
রাখিতেন মহিষই,রাখা মহিষ
মহিষই ঘাতকই,মহিষ ঘাতক
ঘাতকই কষ্টিপাথরটির,ঘাতক কষ্টিপাথর
কষ্টিপাথরটির অর্ধচন্দ্রসহ,কষ্টিপাথর অর্ধচন্দ্র
অর্ধচন্দ্রসহ কৃষিভিত্তিক,অর্ধচন্দ্র কৃষিভিত্তিক
কৃষিভিত্তিক টাওয়ালে,কৃষিভিত্তিক টাওয়াল
টাওয়ালে মেঘকরা,টাওয়াল মেঘ
মেঘকরা উদ্ভাসনকারী,মেঘ উদ্ভাস
উদ্ভাসনকারী অন্ন,উদ্ভাস অন্ন
অন্ন কাটিতেছিস,অন্ন কাটা
কাটিতেছিস গোশতের,কাটা গোশত
গোশতের ছন্দটি,গোশত ছন্দ
ছন্দটি আশ্রয়কে,ছন্দ আশ্রয়
আশ্রয়কে উপাধিযুক্ত,আশ্রয় উপাধি
উপাধিযুক্ত অভিবাসীদের,উপাধি অভিবাসী
অভিবাসীদের স্বয়ং,অভিবাসী স্বয়ং
স্বয়ং আসিতাম,স্বয়ং আসা
আসিতাম মধুসূদন,আসা মধুসূদন
মধুসূদন ঘেঁষে,মধুসূদন ঘেঁষা
ঘেঁষে মাছিই,ঘেঁষা মাছি
মাছিই আত্মবিসর্জনে,মাছি আত্মবিসর্জন
আত্মবিসর্জনে ঢাক,আত্মবিসর্জন ঢাক
ঢাক সৎপাত্রে,ঢাক সৎপাত্র
সৎপাত্রে তৈরির,সৎপাত্র তৈরি
তৈরির পোলিয়োকে,তৈরি পোলিয়ো
পোলিয়োকে আমাদের,পোলিয়ো আমার
আমাদের সময়টা,আমার সময়
সময়টা পড়ালুম,সময় পড়া
পড়ালুম কম্বু,পড়া কম্বু
কম্বু অকূলপাথার,কম্বু অকূল
অকূলপাথার নব,অকূল নব
নব বিচারতো,নব বিচার
বিচারতো জাজিম,বিচার জাজিম
জাজিম অনেকের,জাজিম অনেক
অনেকের ধমকাচ্ছিলুম,অনেক ধমক
ধমকাচ্ছিলুম চড়,ধমক চড়
চড় তাপে,চড় তাপ
তাপে বৈশাখের,তাপ বৈশাখ
বৈশাখের কীটপতঙ্গমুক্ত,বৈশাখ কীটপতঙ্গ
কীটপতঙ্গমুক্ত আস্তিকতা,কীটপতঙ্গ আস্তিক
আস্তিকতা দুগ্ধবতী,আস্তিক দুগ্ধ
দুগ্ধবতী অন্তরা,দুগ্ধ অন্তরা
অন্তরা জালটি,অন্তরা জাল
জালটি ভাগের,জাল ভাগ
ভাগের অপূর্ণকে,ভাগ অপূর্ণ
অপূর্ণকে পাড়ে,অপূর্ণ পাড়
পাড়ে বলাচ্ছিল,পাড় বলা
বলাচ্ছিল ঘুমেই,বলা ঘুম
ঘুমেই অট্টালিকাটির,ঘুম অট্টালিকা
অট্টালিকাটির উদ্ধৃতাংশে,অট্টালিকা উদ্ধৃতাংশ
উদ্ধৃতাংশে ছোঁড়াই,উদ্ধৃতাংশ ছোঁড়া
ছোঁড়াই নলকূপটা,ছোঁড়া নলকূপ
নলকূপটা চাহিদাই,নলকূপ চাহিদা
চাহিদাই কাটাবি,চাহিদা কাটা
কাটাবি পৌঁছল,কাটা পৌঁছনো
পৌঁছল বিবাদহীন,পৌঁছনো বিবাদ
বিবাদহীন তারকাঁটায়,বিবাদ তারকাঁটা
তারকাঁটায় অনুমতিক্রমে,তারকাঁটা অনুমতি
অনুমতিক্রমে জেটলির,অনুমতি জেটলি
জেটলির ধনিচা,জেটলি ধনিচা
ধনিচা পুঁচকি,ধনিচা পুঁচকি
পুঁচকি অনুবাদকর্ম,পুঁচকি অনুবাদ
অনুবাদকর্ম অভিবাসনপত্র,অনুবাদ অভিবাসন
অভিবাসনপত্র নরকই,অভিবাসন নরক
নরকই অব্যয়গুলোর,নরক অব্যয়
অব্যয়গুলোর জানে,অব্যয় জানা
জানে মৌমাছিদের,জানা মৌমাছি
মৌমাছিদের লিখছি,মৌমাছি লেখা
লিখছি প্রচারে,লেখা প্রচার
প্রচারে বিশ্রামগৃহে,প্রচার বিশ্রামগৃহ
বিশ্রামগৃহে ফুট,বিশ্রামগৃহ ফুট
ফুট খনিজগুলোর,ফুট খনিজ
খনিজগুলোর খবরটা,খনিজ খবর
খবরটা বাক্যই,খবর বাক্য
বাক্যই যাজনিকতা,বাক্য যাজনিক
যাজনিকতা দ্রুতপদে,যাজনিক দ্রুতপদে
দ্রুতপদে অবনমনের,দ্রুতপদে অবনমন
অবনমনের হিমালয়কে,অবনমন হিমালয়
হিমালয়কে তালাশে,হিমালয় তালাশ
তালাশে অপরাধটি,তালাশ অপরাধ
অপরাধটি বায়ুুকে,অপরাধ বায়ু
বায়ুুকে তাড়াতাড়ি,বায়ু তাড়াতাড়ি
তাড়াতাড়ি আসবাবও,তাড়াতাড়ি আসবাব
আসবাবও বিদীর্ণ,আসবাব বিদীর্ণ
বিদীর্ণ যাইতেছিলেন,বিদীর্ণ যাওয়া
যাইতেছিলেন হকারদের,যাওয়া হকার
হকারদের পাত্র,হকার পাত্র
পাত্র ইতিহাসও,পাত্র ইতিহাস
ইতিহাসও চুলের,ইতিহাস চুল
চুলের নগরী,চুল নগর
নগরী অভাবে,নগর অভাব
অভাবে কর্দমে,অভাব কর্দম
কর্দমে পাঠককে,কর্দম পাঠক
পাঠককে যাবজ্জীবন,পাঠক যাবজ্জীবন
যাবজ্জীবন আয়ই,যাবজ্জীবন আয়
আয়ই কুরুক্ষেত্রে,আয় কুরুক্ষেত্র
কুরুক্ষেত্রে দেখাচ্ছিলাম,কুরুক্ষেত্র দেখা
দেখাচ্ছিলাম উল্কা,দেখা উল্কা
উল্কা সুপবিত্র,উল্কা সুপবিত্র
সুপবিত্র গণে,সুপবিত্র গণ
গণে অনুশাসন,গণ অনুশাসন
অনুশাসন তালা,অনুশাসন তালা
তালা আসব,তালা আসা
আসব দিয়ে,আসা দাওয়া
দিয়ে তুই,দাওয়া তুমি
তুই খেলোয়াড়ের,তুমি খেলোয়াড়
খেলোয়াড়ের আপাংক্তেয়,খেলোয়াড় আপাংক্তেয়
আপাংক্তেয় ফিরাতে,আপাংক্তেয় ফিরা
ফিরাতে অবতরণ,ফিরা অবতরণ
অবতরণ বাধাস,অবতরণ বাধা
বাধাস অগ্রভাগে,বাধা অগ্রভাগ
অগ্রভাগে সেনাপতি,অগ্রভাগ সেনাপতি
সেনাপতি ডিজেলের,সেনাপতি ডিজেল
ডিজেলের কচ্ছপটি,ডিজেল কচ্ছপ
কচ্ছপটি অববাহিকাজুড়ে,কচ্ছপ অববাহিকা
অববাহিকাজুড়ে অকল্পনীয়ভাবে,অববাহিকা অকল্পিত
অকল্পনীয়ভাবে আধ্যাত্মিকতাসহ,অকল্পিত আধ্যাত্মিক
আধ্যাত্মিকতাসহ ছাত্র্রের,আধ্যাত্মিক ছাত্র
ছাত্র্রের দৌড়ন,ছাত্র দৌড়
দৌড়ন উন্নয়নকাজ,দৌড় উন্নয়ন
উন্নয়নকাজ উত্ত্যক্ত,উন্নয়ন উত্ত্যক্ত
উত্ত্যক্ত পড়াতুম,উত্ত্যক্ত পড়া
পড়াতুম আদর্শকেই,পড়া আদর্শ
আদর্শকেই পিছি,আদর্শ পিছন
পিছি হিসাব,পিছন হিসাব
হিসাব অন্যদিনের,হিসাব অন্যদিন
অন্যদিনের নকশার,অন্যদিন নকশা
নকশার কর্মহীনতা,নকশা কর্মহীনতা
কর্মহীনতা ডাকাতীর,কর্মহীনতা ডাকাতী
ডাকাতীর মাতাল,ডাকাতী মাতাল
মাতাল শাস্তিভোগ,মাতাল শাস্তি
শাস্তিভোগ ওপারে,শাস্তি ওপার
ওপারে জোকটা,ওপার জোক
জোকটা অদ্বৈতচন্দ্র,জোক অদ্বৈত
অদ্বৈতচন্দ্র অনিন্দ্যসুন্দরী,অদ্বৈত অনিন্দ্য
অনিন্দ্যসুন্দরী ঠোঁট,অনিন্দ্য ঠোঁট
ঠোঁট চেইনে,ঠোঁট চেইন
চেইনে বিকেন্দ্রীকরণের,চেইন বিকেন্দ্রীকরণ
বিকেন্দ্রীকরণের কবুলের,বিকেন্দ্রীকরণ কবুল
কবুলের কর্মীকে,কবুল কর্মী
কর্মীকে অম্বরিশ,কর্মী অম্বর
অম্বরিশ অভিজ্ঞই,অম্বর অভিজ্ঞ
অভিজ্ঞই অনিদ্র,অভিজ্ঞ নিদ্রা
অনিদ্র নিমন্ত্রণে,নিদ্রা নিমন্ত্রণ
নিমন্ত্রণে আবডালের,নিমন্ত্রণ আবডাল
আবডালের পুতুলকে,আবডাল পুতুল
পুতুলকে কড়কড়ানি,পুতুল কড়কড়
কড়কড়ানি আত্মীয়কে,কড়কড় আত্মীয়
আত্মীয়কে পুষ্করিণীর,আত্মীয় পুষ্করিণী
পুষ্করিণীর ভাঙাইয়া,পুষ্করিণী ভাঙানো
ভাঙাইয়া ডলাতে,ভাঙানো ডলা
ডলাতে কাটান,ডলা কাটা
কাটান অটুট,কাটা অটুট
অটুট আবৃত্তিতে,অটুট আবৃত্তি
আবৃত্তিতে শিবনাথপণ্ডিতের,আবৃত্তি শিবনাথপণ্ডিত
শিবনাথপণ্ডিতের উন্মুক্তকরণ,শিবনাথপণ্ডিত উন্মুক্ত
উন্মুক্তকরণ অশান্তিপূর্ণ,উন্মুক্ত অশান্তি
অশান্তিপূর্ণ অসি,অশান্তি অসি
অসি আলোও,অসি আলো
আলোও অবসরই,আলো অবসর
অবসরই আবাসক্ষেত্র,অবসর আবাস
আবাসক্ষেত্র আঙুরকুচি,আবাস আঙুর
আঙুরকুচি যামিনীপতি,আঙুর যামিনী
যামিনীপতি খড়ির,যামিনী খড়
খড়ির সংস্কারের,খড় সংস্কার
সংস্কারের গৌরীর,সংস্কার গৌরী
গৌরীর ছিপটা,গৌরী ছিপ
ছিপটা ঠোঙাটি,ছিপ ঠোঙা
ঠোঙাটি বসেছেন,ঠোঙা বসা
বসেছেন কচ্ছপ,বসা কচ্ছপ
কচ্ছপ যানবাহন,কচ্ছপ যানবাহন
যানবাহন একজন,যানবাহন একজন
একজন বালককে,একজন বালক
বালককে ছাঁটার,বালক ছাঁটা
ছাঁটার পল্টু,ছাঁটা পল্টু
পল্টু বিশিষ্ট,পল্টু বিশিষ্ট
বিশিষ্ট অংশকে,বিশিষ্ট অংশ
অংশকে স্থানের,অংশ স্থান
স্থানের লেগেছে,স্থান লাগা
লেগেছে কটু,লাগা কটু
কটু নভোচারী,কটু নভোচারী
নভোচারী নগদে,নভোচারী নগদ
নগদে ফলি,নগদ ফল
ফলি যাত্রা,ফল যাত্রা
যাত্রা বেদনার,যাত্রা বেদনা
বেদনার বৈকালিক,বেদনা বৈকালিক
বৈকালিক কোম্পানিকে,বৈকালিক কোম্পানি
কোম্পানিকে অচিরে,কোম্পানি অচির
অচিরে হিংসুকরা,অচির হিংসুক
হিংসুকরা পদ্যটি,হিংসুক পদ্য
পদ্যটি দোকানে,পদ্য দোকান
দোকানে আঁতুড়ঘরও,দোকান আঁতুড়ঘর
আঁতুড়ঘরও আসিত,আঁতুড়ঘর আসা
আসিত চিরদিনের,আসা চিরদিন
চিরদিনের খাইশ,চিরদিন খাওয়া
খাইশ খুঁটিও,খাওয়া খুঁটি
খুঁটিও দয়ার,খুঁটি দয়া
দয়ার গর্দভকে,দয়া গর্দভ
গর্দভকে কাগজে,গর্দভ কাগজ
কাগজে দুজনেই,কাগজ দুইজন
দুজনেই জি,দুইজন জি
জি যৌথবাহিনী,জি যৌথ
যৌথবাহিনী অধিকারকেই,যৌথ অধিকার
অধিকারকেই হল,অধিকার হওয়া
হল আলোচনা,হওয়া আলোচনা
আলোচনা রূপের,আলোচনা রূপ
রূপের অংশগ্রহনের,রূপ অংশ
অংশগ্রহনের পক্ষের,অংশ পক্ষ
পক্ষের সরাচ্ছিলেম,পক্ষ সরা
সরাচ্ছিলেম অবকাশটুকু,সরা অবকাশ
অবকাশটুকু স্ফূর্তি,অবকাশ স্ফূর্তি
স্ফূর্তি ব্যক্ত,স্ফূর্তি ব্যক্ত
ব্যক্ত বলেও,ব্যক্ত বলা
বলেও লেজ,বলা লেজ
লেজ গিয়েছিলাম,লেজ যাওয়া
গিয়েছিলাম ঝিনুক,যাওয়া ঝিনুক
ঝিনুক দাক্ষিণ্যেই,ঝিনুক দক্ষিণা
দাক্ষিণ্যেই অধিপতিকে,দক্ষিণা অধিপতি
অধিপতিকে মলাটা,অধিপতি মলা
মলাটা প্রধানকে,মলা প্রধান
প্রধানকে লেখানো,প্রধান লেখা
লেখানো ঘুষই,লেখা ঘুষ
ঘুষই অপেক্ষাও,ঘুষ অপেক্ষা
